³¯Â¥,PM10,PM2.5
20170410,25.0,12.0
20170411,61.0,19.0
20170412,81.0,11.0
20170413,78.0,22.0
20170414,64.0,22.0
20170415,70.0,28.0
20170416,70.0,30.0
20170417,58.0,24.0
20170418,43.0,20.0
20170419,102.0,17.0
20170420,99.0,21.0
20170421,81.0,22.0
20170422,64.0,21.0
20170423,58.0,22.0
20170424,53.0,20.0
20170425,67.0,46.0
20170426,49.0,15.0
20170427,52.0,14.0
20170428,75.0,23.0
20170429,70.0,25.0
20170430,103.0,50.0
20170501,95.0,46.0
20170502,106.0,46.0
20170503,86.0,35.0
20170504,73.0,33.0
20170505,65.0,26.0
20170506,243.0,24.0
20170507,112.0,16.0
20170508,194.0,42.0
20170509,136.0,33.0
20170510,42.0,19.0
20170511,75.0,35.0
20170512,78.0,46.0
20170513,59.0,28.0
20170514,70.0,17.0
20170515,51.0,13.0
20170516,39.0,17.0
20170517,44.0,19.0
20170518,55.0,28.0
20170519,57.0,27.0
20170520,48.0,23.0
20170521,33.0,19.0
20170522,51.0,30.0
20170523,41.0,22.0
20170524,29.0,15.0
20170525,45.0,15.0
20170526,29.0,7.0
20170527,40.0,14.0
20170528,53.0,22.0
20170529,79.0,33.0
20170530,56.0,22.0
20170531,45.0,20.0
20170601,46.0,18.0
20170602,33.0,9.0
20170603,35.0,12.0
20170604,34.0,14.0
20170605,29.0,14.0
20170606,20.0,10.0
20170607,17.0,9.0
20170608,44.0,27.0
20170609,61.0,34.0
20170610,52.0,22.0
20170611,31.0,11.0
20170612,33.0,11.0
20170613,40.0,16.0
20170614,51.0,20.0
20170615,56.0,23.0
20170616,75.0,28.0
20170617,56.0,24.0
20170618,50.0,24.0
20170619,57.0,25.0
20170620,63.0,22.0
20170621,65.0,23.0
20170622,45.0,24.0
20170623,51.0,23.0
20170624,49.0,22.0
20170625,36.0,18.0
20170626,27.0,13.0
20170627,33.0,17.0
20170628,51.0,26.0
20170629,50.0,31.0
20170630,50.0,34.0
20170701,36.0,26.0
20170702,19.0,11.0
20170703,19.0,13.0
20170704,27.0,21.0
20170705,35.0,24.0
20170706,41.0,28.0
20170707,18.0,10.0
20170708,22.0,13.0
20170709,23.0,13.0
20170710,15.0,7.0
20170711,33.0,21.0
20170712,43.0,27.0
20170713,48.0,31.0
20170714,42.0,28.0
20170715,17.0,11.0
20170716,15.0,9.0
20170717,21.0,12.0
20170718,24.0,19.0
20170719,34.0,24.0
20170720,48.0,34.0
20170721,54.0,40.0
20170722,48.0,39.0
20170723,37.0,29.0
20170724,31.0,21.0
20170725,21.0,13.0
20170726,15.0,9.0
20170727,25.0,14.0
20170728,19.0,14.0
20170729,14.0,7.0
20170730,19.0,15.0
20170731,18.0,12.0
20170801,20.0,11.0
20170802,32.0,20.0
20170803,21.0,12.0
20170804,25.0,17.0
20170805,29.0,19.0
20170806,24.0,17.0
20170807,30.0,21.0
20170808,37.0,25.0
20170809,30.0,19.0
20170810,8.0,5.0
20170811,11.0,5.0
20170812,9.0,4.0
20170813,8.0,5.0
20170814,8.0,4.0
20170815,6.0,3.0
20170816,7.0,4.0
20170817,11.0,5.0
20170818,25.0,15.0
20170819,22.0,11.0
20170820,9.0,5.0
20170821,12.0,6.0
20170822,18.0,10.0
20170823,17.0,8.0
20170824,18.0,7.0
20170825,22.0,10.0
20170826,24.0,10.0
20170827,23.0,12.0
20170828,28.0,15.0
20170829,14.0,8.0
20170830,26.0,9.0
20170831,33.0,18.0
20170901,20.0,10.0
20170902,24.0,13.0
20170903,26.0,17.0
20170904,27.0,14.0
20170905,25.0,13.0
20170906,26.0,16.0
20170907,34.0,22.0
20170908,41.0,25.0
20170909,53.0,34.0
20170910,47.0,30.0
20170911,19.0,13.0
20170912,25.0,11.0
20170913,26.0,13.0
20170914,27.0,13.0
20170915,16.0,8.0
20170916,10.0,5.0
20170917,8.0,4.0
20170918,20.0,10.0
20170919,59.0,39.0
20170920,21.0,9.0
20170921,26.0,14.0
20170922,28.0,18.0
20170923,53.0,25.0
20170924,57.0,35.0
20170925,44.0,24.0
20170926,43.0,23.0
20170927,34.0,18.0
20170928,22.0,7.0
20170929,23.0,8.0
20170930,33.0,16.0
20171001,29.0,17.0
20171002,15.0,9.0
20171003,33.0,11.0
20171004,20.0,8.0
20171005,15.0,7.0
20171006,10.0,6.0
20171007,9.0,5.0
20171008,18.0,12.0
20171009,25.0,17.0
20171010,27.0,16.0
20171011,9.0,6.0
20171012,19.0,9.0
20171013,25.0,13.0
20171014,21.0,10.0
20171015,21.0,11.0
20171016,27.0,14.0
20171017,36.0,18.0
20171018,22.0,12.0
20171019,16.0,8.0
20171020,26.0,12.0
20171021,35.0,17.0
20171022,20.0,10.0
20171023,26.0,9.0
20171024,31.0,13.0
20171025,39.0,20.0
20171026,47.0,25.0
20171027,54.0,29.0
20171028,44.0,24.0
20171029,62.0,21.0
20171030,36.0,14.0
20171031,35.0,16.0
20171101,35.0,19.0
20171102,42.0,25.0
20171103,33.0,23.0
20171104,46.0,36.0
20171105,42.0,30.0
20171106,30.0,19.0
20171107,39.0,22.0
20171108,56.0,26.0
20171109,50.0,24.0
20171110,44.0,20.0
20171111,74.0,14.0
20171112,32.0,18.0
20171113,37.0,22.0
20171114,39.0,14.0
20171115,25.0,12.0
20171116,29.0,17.0
20171117,51.0,29.0
20171118,42.0,26.0
20171119,27.0,13.0
20171120,41.0,23.0
20171121,58.0,35.0
20171122,70.0,34.0
20171123,28.0,13.0
20171124,22.0,14.0
20171125,25.0,17.0
20171126,29.0,19.0
20171127,49.0,30.0
20171128,68.0,46.0
20171129,64.0,25.0
20171130,25.0,10.0
20171201,25.0,13.0
20171202,43.0,26.0
20171203,43.0,29.0
20171204,41.0,22.0
20171205,22.0,13.0
20171206,28.0,21.0
20171207,36.0,26.0
20171208,31.0,24.0
20171209,40.0,25.0
20171210,34.0,23.0
20171211,52.0,11.0
20171212,33.0,18.0
20171213,41.0,23.0
20171214,54.0,36.0
20171215,76.0,55.0
20171216,39.0,26.0
20171217,40.0,14.0
20171218,51.0,35.0
20171219,46.0,18.0
20171220,43.0,29.0
20171221,47.0,36.0
20171222,56.0,45.0
20171223,92.0,67.0
20171224,68.0,52.0
20171225,36.0,16.0
20171226,35.0,15.0
20171227,31.0,14.0
20171228,61.0,30.0
20171229,103.0,62.0
20171230,133.0,87.0
20171231,70.0,33.0
20180101,53.0,23.0
20180102,52.0,27.0
20180103,40.0,20.0
20180104,59.0,27.0
20180105,65.0,36.0
20180106,61.0,29.0
20180107,58.0,33.0
20180108,55.0,36.0
20180109,45.0,20.0
20180110,35.0,12.0
20180111,35.0,20.0
20180112,25.0,14.0
20180113,49.0,26.0
20180114,64.0,37.0
20180115,64.0,46.0
20180116,105.0,73.0
20180117,122.0,89.0
20180118,98.0,56.0
20180119,76.0,30.0
20180120,119.0,64.0
20180121,84.0,38.0
20180122,59.0,30.0
20180123,27.0,11.0
20180124,33.0,10.0
20180125,25.0,11.0
20180126,35.0,19.0
20180127,48.0,26.0
20180128,36.0,20.0
20180129,50.0,16.0
20180130,46.0,23.0
20180131,45.0,21.0
20180201,44.0,25.0
20180202,59.0,33.0
20180203,40.0,20.0
20180204,33.0,22.0
20180205,28.0,15.0
20180206,32.0,19.0
20180207,46.0,26.0
20180208,60.0,36.0
20180209,68.0,43.0
20180210,79.0,41.0
20180211,62.0,15.0
20180212,57.0,15.0
20180213,47.0,13.0
20180214,73.0,29.0
20180215,43.0,15.0
20180216,49.0,22.0
20180217,59.0,12.0
20180218,42.0,18.0
20180219,66.0,38.0
20180220,70.0,41.0
20180221,43.0,19.0
20180222,53.0,28.0
20180223,93.0,62.0
20180224,83.0,53.0
20180225,51.0,32.0
20180226,71.0,45.0
20180227,104.0,66.0
20180228,60.0,35.0
20180301,45.0,32.0
20180302,77.0,31.0
20180303,65.0,26.0
20180304,24.0,17.0
20180305,10.0,6.0
20180306,36.0,17.0
20180307,28.0,14.0
20180308,34.0,25.0
20180309,48.0,33.0
20180310,50.0,31.0
20180311,54.0,30.0
20180312,104.0,58.0
20180313,41.0,23.0
20180314,25.0,12.0
20180315,26.0,17.0
20180316,14.0,6.0
20180317,34.0,18.0
20180318,54.0,37.0
20180319,22.0,13.0
20180320,22.0,8.0
20180321,17.0,6.0
20180322,42.0,25.0
20180323,61.0,42.0
20180324,106.0,74.0
20180325,106.0,78.0
20180326,98.0,52.0
20180327,95.0,60.0
20180328,52.0,36.0
20180329,69.0,49.0
20180330,69.0,39.0
20180331,63.0,30.0
20180401,85.0,41.0
20180402,87.0,33.0
20180403,87.0,25.0
20180404,16.0,8.0
20180405,7.0,5.0
20180406,143.0,28.0
20180407,59.0,24.0
20180408,31.0,15.0
20180409,35.0,21.0
20180410,57.0,20.0
20180411,75.0,27.0
20180412,52.0,16.0
20180413,43.0,16.0
20180414,23.0,13.0
20180415,94.0,22.0
20180416,44.0,24.0
20180417,77.0,32.0
20180418,72.0,36.0
20180419,88.0,42.0
20180420,115.0,59.0
20180421,79.0,42.0
20180422,43.0,24.0
20180423,10.0,7.0
20180424,11.0,6.0
20180425,42.0,29.0
20180426,55.0,36.0
20180427,60.0,41.0
20180428,42.0,23.0
20180429,44.0,25.0
20180430,70.0,49.0
20180501,58.0,45.0
20180502,42.0,30.0
20180503,32.0,16.0
20180504,49.0,20.0
20180505,45.0,23.0
20180506,16.0,10.0
20180507,36.0,20.0
20180508,21.0,9.0
20180509,25.0,12.0
20180510,45.0,24.0
20180511,57.0,32.0
20180512,29.0,18.0
20180513,23.0,15.0
20180514,63.0,40.0
20180515,74.0,44.0
20180516,37.0,25.0
20180517,15.0,9.0
20180518,9.0,5.0
20180519,14.0,6.0
20180520,14.0,7.0
20180521,22.0,13.0
20180522,33.0,24.0
20180523,51.0,13.0
20180524,106.0,30.0
20180525,100.0,38.0
20180526,90.0,43.0
20180527,76.0,34.0
20180528,57.0,30.0
20180529,46.0,30.0
20180530,43.0,24.0
20180531,43.0,25.0
20180601,45.0,27.0
20180602,41.0,22.0
20180603,36.0,22.0
20180604,47.0,31.0
20180605,50.0,37.0
20180606,54.0,42.0
20180607,50.0,35.0
20180608,41.0,27.0
20180609,38.0,24.0
20180610,10.0,5.0
20180611,12.0,5.0
20180612,16.0,8.0
20180613,29.0,20.0
20180614,26.0,19.0
20180615,15.0,7.0
20180616,23.0,13.0
20180617,43.0,29.0
20180618,43.0,28.0
20180619,42.0,29.0
20180620,44.0,31.0
20180621,40.0,26.0
20180622,42.0,25.0
20180623,41.0,24.0
20180624,52.0,36.0
20180625,56.0,35.0
20180626,44.0,31.0
20180627,30.0,20.0
20180628,20.0,13.0
20180629,36.0,26.0
20180630,42.0,25.0
20180701,13.0,5.0
20180702,11.0,5.0
20180703,14.0,6.0
20180704,21.0,11.0
20180705,16.0,10.0
20180706,7.0,3.0
20180707,9.0,3.0
20180708,11.0,5.0
20180709,9.0,4.0
20180710,21.0,10.0
20180711,25.0,13.0
20180712,24.0,13.0
20180713,20.0,12.0
20180714,19.0,12.0
20180715,22.0,15.0
20180716,27.0,19.0
20180717,29.0,21.0
20180718,34.0,24.0
20180719,32.0,23.0
20180720,38.0,26.0
20180721,45.0,31.0
20180722,33.0,23.0
20180723,29.0,20.0
20180724,41.0,28.0
20180725,30.0,20.0
20180726,36.0,25.0
20180727,45.0,31.0
20180728,34.0,23.0
20180729,18.0,12.0
20180730,11.0,5.0
20180731,17.0,9.0
20180801,28.0,17.0
20180802,39.0,25.0
20180803,41.0,30.0
20180804,28.0,19.0
20180805,23.0,16.0
20180806,27.0,18.0
20180807,20.0,12.0
20180808,25.0,17.0
20180809,26.0,17.0
20180810,17.0,9.0
20180811,10.0,5.0
20180812,15.0,11.0
20180813,33.0,21.0
20180814,29.0,20.0
20180815,28.0,18.0
20180816,16.0,7.0
20180817,12.0,4.0
20180818,16.0,6.0
20180819,22.0,12.0
20180820,34.0,20.0
20180821,25.0,15.0
20180822,23.0,14.0
20180823,14.0,6.0
20180824,9.0,4.0
20180825,23.0,12.0
20180826,15.0,9.0
20180827,9.0,4.0
20180828,9.0,3.0
20180829,14.0,6.0
20180830,28.0,18.0
20180831,24.0,15.0
20180901,16.0,8.0
20180902,12.0,6.0
20180903,14.0,7.0
20180904,15.0,6.0
20180905,26.0,10.0
20180906,29.0,16.0
20180907,23.0,12.0
20180908,22.0,10.0
20180909,19.0,10.0
20180910,12.0,4.0
20180911,12.0,5.0
20180912,17.0,7.0
20180913,19.0,9.0
20180914,19.0,9.0
20180915,12.0,6.0
20180916,32.0,22.0
20180917,26.0,15.0
20180918,35.0,17.0
20180919,40.0,19.0
20180920,13.0,8.0
20180921,9.0,3.0
20180922,29.0,10.0
20180923,28.0,10.0
20180924,14.0,6.0
20180925,14.0,7.0
20180926,10.0,5.0
20180927,9.0,4.0
20180928,15.0,7.0
20180929,17.0,7.0
20180930,23.0,10.0
20181001,20.0,9.0
20181002,26.0,13.0
20181003,29.0,16.0
20181004,20.0,11.0
20181005,9.0,5.0
20181006,7.0,4.0
20181007,26.0,10.0
20181008,25.0,9.0
20181009,27.0,11.0
20181010,19.0,10.0
20181011,18.0,8.0
20181012,27.0,12.0
20181013,30.0,17.0
20181014,26.0,16.0
20181015,53.0,30.0
20181016,49.0,24.0
20181017,35.0,17.0
20181018,17.0,8.0
20181019,21.0,9.0
20181020,42.0,19.0
20181021,41.0,21.0
20181022,50.0,26.0
20181023,43.0,21.0
20181024,41.0,16.0
20181025,49.0,20.0
20181026,33.0,16.0
20181027,33.0,6.0
20181028,15.0,8.0
20181030,,
20181029,,
20181031,,
20181113,50.0,25.0
20181114,55.0,25.0
20181115,,40.0
20181116,59.0,45.0
20181117,35.0,20.0
20181118,39.0,27.0
20181119,70.0,37.0
20181120,60.0,23.0
20181121,39.0,18.0
20181122,27.0,9.0
20181123,31.0,13.0
20181124,27.0,18.0
20181125,54.0,41.0
20181126,61.0,46.0
20181127,204.0,59.0
20181128,142.0,31.0
20181129,100.0,31.0
20181130,84.0,34.0
20181111,,
20181110,,
20181105,,
20181101,,
20181103,,
20181108,,
20181109,,
20181112,,
20181106,,
20181107,,
20181102,,
20181104,,
20181201,63.0,30.0
20181202,66.0,36.0
20181203,48.0,32.0
20181204,42.0,22.0
20181205,34.0,14.0
20181206,44.0,20.0
20181207,27.0,10.0
20181208,27.0,8.0
20181209,28.0,12.0
20181210,46.0,23.0
20181211,44.0,23.0
20181212,50.0,26.0
20181213,42.0,27.0
20181214,37.0,19.0
20181215,55.0,36.0
20181216,53.0,41.0
20181217,72.0,51.0
20181218,48.0,29.0
20181219,60.0,35.0
20181220,67.0,39.0
20181221,86.0,52.0
20181222,95.0,67.0
20181223,55.0,29.0
20181224,29.0,13.0
20181225,39.0,24.0
20181226,53.0,26.0
20181227,32.0,9.0
20181228,39.0,12.0
20181229,43.0,9.0
20181230,36.0,18.0
20181231,46.0,27.0
20190101,42.0,27.0
20190102,38.0,22.0
20190103,51.0,29.0
20190104,62.0,41.0
20190105,68.0,38.0
20190106,55.0,25.0
20190107,59.0,36.0
20190108,47.0,18.0
20190109,60.0,22.0
20190110,67.0,36.0
20190111,82.0,57.0
20190112,90.0,63.0
20190113,109.0,77.0
20190114,158.0,126.0
20190115,130.0,79.0
20190116,51.0,18.0
20190117,47.0,23.0
20190118,64.0,40.0
20190119,98.0,69.0
20190120,69.0,34.0
20190121,45.0,21.0
20190122,68.0,34.0
20190123,74.0,42.0
20190124,43.0,19.0
20190125,55.0,19.0
20190126,44.0,16.0
20190127,35.0,16.0
20190128,86.0,21.0
20190129,72.0,20.0
20190130,66.0,32.0
20190131,77.0,18.0
20190201,38.0,15.0
20190202,58.0,34.0
20190203,38.0,31.0
20190204,69.0,31.0
20190205,86.0,23.0
20190206,91.0,31.0
20190207,57.0,28.0
20190208,32.0,14.0
20190209,36.0,14.0
20190210,42.0,19.0
20190211,37.0,18.0
20190212,56.0,31.0
20190213,39.0,17.0
20190214,55.0,24.0
20190215,37.0,24.0
20190216,57.0,42.0
20190217,35.0,20.0
20190218,47.0,25.0
20190219,42.0,31.0
20190220,60.0,46.0
20190221,81.0,61.0
20190222,74.0,51.0
20190223,56.0,33.0
20190224,64.0,44.0
20190225,82.0,56.0
20190226,53.0,25.0
20190227,67.0,38.0
20190228,89.0,56.0
20190301,117.0,79.0
20190302,118.0,78.0
20190303,103.0,68.0
20190304,152.0,102.0
20190305,171.0,122.0
20190306,133.0,93.0
20190307,52.0,32.0
20190308,48.0,24.0
20190309,47.0,25.0
20190310,48.0,27.0
20190311,66.0,42.0
20190312,82.0,45.0
20190313,45.0,8.0
20190314,43.0,17.0
20190315,57.0,31.0
20190316,40.0,27.0
20190317,37.0,20.0
20190318,40.0,21.0
20190319,69.0,41.0
20190320,93.0,68.0
20190321,35.0,26.0
20190322,38.0,17.0
20190323,25.0,12.0
20190324,27.0,11.0
20190325,51.0,28.0
20190326,56.0,33.0
20190327,91.0,61.0
20190328,82.0,54.0
20190329,40.0,21.0
20190330,35.0,27.0
20190331,43.0,26.0
20190401,24.0,14.0
20190402,32.0,18.0
20190403,37.0,24.0
20190404,36.0,21.0
20190405,81.0,26.0
20190406,63.0,21.0
20190407,35.0,18.0
20190408,38.0,14.0
20190409,30.0,12.0
20190410,9.0,8.0
20190411,31.0,21.0
20190412,48.0,32.0
20190413,46.0,31.0
20190414,38.0,23.0
20190415,49.0,17.0
20190416,48.0,23.0
20190417,42.0,21.0
20190418,42.0,30.0
20190419,46.0,27.0
20190420,49.0,29.0
20190421,37.0,32.0
20190422,103.0,48.0
20190423,96.0,50.0
20190424,55.0,45.0
20190425,37.0,22.0
20190426,7.0,10.0
20190427,20.0,14.0
20190428,17.0,15.0
20190429,29.0,21.0
20190430,35.0,25.0
20190501,65.0,31.0
20190502,56.0,20.0
20190503,59.0,33.0
20190504,93.0,63.0
20190505,58.0,40.0
20190506,32.0,14.0
20190507,48.0,21.0
20190508,52.0,28.0
20190509,45.0,30.0
20190510,62.0,39.0
20190511,68.0,41.0
20190512,54.0,38.0
20190513,54.0,39.0
20190514,47.0,40.0
20190515,66.0,50.0
20190516,66.0,47.0
20190517,58.0,44.0
20190518,30.0,17.0
20190519,7.0,14.0
20190520,38.0,17.0
20190521,53.0,24.0
20190522,57.0,28.0
20190523,70.0,39.0
20190524,86.0,52.0
20190525,89.0,58.0
20190526,39.0,21.0
20190527,21.0,14.0
20190528,22.0,9.0
20190529,50.0,24.0
20190530,47.0,24.0
20190531,20.0,12.0
20190601,36.0,26.0
20190602,40.0,23.0
20190603,44.0,22.0
20190604,27.0,17.0
20190605,64.0,46.0
20190606,64.0,47.0
20190607,12.0,9.0
20190608,26.0,17.0
20190609,46.0,37.0
20190610,12.0,8.0
20190611,14.0,8.0
20190612,35.0,21.0
20190613,32.0,20.0
20190614,40.0,25.0
20190615,39.0,20.0
20190616,19.0,12.0
20190617,25.0,16.0
20190618,32.0,22.0
20190619,36.0,26.0
20190620,34.0,23.0
20190621,31.0,21.0
20190622,14.0,7.0
20190623,17.0,9.0
20190624,23.0,11.0
20190625,31.0,18.0
20190626,33.0,18.0
20190627,17.0,10.0
20190628,34.0,24.0
20190629,22.0,15.0
20190630,32.0,23.0
20190701,32.0,23.0
20190702,28.0,20.0
20190703,35.0,24.0
20190704,32.0,20.0
20190705,32.0,18.0
20190706,25.0,16.0
20190707,16.0,9.0
20190708,10.0,4.0
20190709,10.0,5.0
20190710,9.0,5.0
20190711,9.0,2.0
20190712,14.0,7.0
20190713,27.0,20.0
20190714,39.0,33.0
20190715,37.0,30.0
20190716,33.0,24.0
20190717,57.0,48.0
20190718,53.0,46.0
20190719,23.0,21.0
20190720,7.0,3.0
20190721,13.0,8.0
20190722,37.0,29.0
20190723,22.0,15.0
20190724,18.0,11.0
20190725,19.0,13.0
20190726,15.0,13.0
20190727,14.0,10.0
20190728,10.0,6.0
20190729,12.0,7.0
20190730,13.0,8.0
20190731,12.0,7.0
20190801,11.0,7.0
20190802,16.0,10.0
20190803,16.0,10.0
20190804,23.0,15.0
20190805,30.0,22.0
20190806,22.0,14.0
20190807,17.0,12.0
20190808,32.0,25.0
20190809,21.0,12.0
20190810,18.0,11.0
20190811,13.0,7.0
20190812,12.0,9.0
20190813,20.0,12.0
20190814,15.0,8.0
20190815,7.0,3.0
20190816,16.0,9.0
20190817,27.0,15.0
20190818,23.0,14.0
20190819,23.0,15.0
20190820,25.0,16.0
20190821,31.0,21.0
20190822,34.0,24.0
20190823,29.0,16.0
20190824,21.0,11.0
20190825,19.0,11.0
20190826,26.0,15.0
20190827,24.0,18.0
20190828,27.0,18.0
20190829,25.0,18.0
20190830,17.0,9.0
20190831,18.0,10.0
20190901,17.0,11.0
20190902,24.0,13.0
20190903,18.0,9.0
20190904,7.0,4.0
20190905,7.0,4.0
20190906,14.0,6.0
20190907,13.0,3.0
20190908,28.0,18.0
20190909,31.0,20.0
20190910,11.0,8.0
20190911,8.0,3.0
20190912,9.0,5.0
20190913,12.0,6.0
20190914,16.0,9.0
20190915,13.0,8.0
20190916,10.0,5.0
20190917,23.0,8.0
20190918,31.0,12.0
20190919,29.0,10.0
20190920,21.0,8.0
20190921,15.0,6.0
20190922,6.0,2.0
20190923,12.0,5.0
20190924,24.0,12.0
20190925,29.0,16.0
20190926,25.0,16.0
20190927,22.0,11.0
20190928,27.0,17.0
20190929,35.0,24.0
20190930,50.0,37.0
20191001,39.0,27.0
20191002,17.0,12.0
20191003,8.0,5.0
20191004,27.0,19.0
20191005,36.0,22.0
20191006,12.0,5.0
20191007,11.0,8.0
20191008,24.0,11.0
20191009,26.0,12.0
20191010,29.0,15.0
20191011,30.0,18.0
20191012,24.0,11.0
20191013,18.0,8.0
20191014,31.0,15.0
20191015,21.0,9.0
20191016,29.0,15.0
20191017,31.0,17.0
20191018,18.0,9.0
20191019,23.0,12.0
20191020,36.0,26.0
20191021,38.0,23.0
20191022,35.0,21.0
20191023,25.0,14.0
20191024,25.0,15.0
20191025,24.0,12.0
20191026,24.0,13.0
20191027,25.0,14.0
20191028,29.0,18.0
20191029,77.0,22.0
20191030,26.0,11.0
20191031,70.0,25.0
20191101,85.0,36.0
20191102,69.0,38.0
20191103,46.0,30.0
20191104,18.0,8.0
20191105,32.0,19.0
20191106,49.0,32.0
20191107,47.0,21.0
20191108,45.0,17.0
20191109,40.0,19.0
20191110,34.0,22.0
20191111,26.0,15.0
20191112,39.0,22.0
20191113,31.0,19.0
20191114,19.0,5.0
20191115,22.0,13.0
20191116,33.0,21.0
20191117,22.0,15.0
20191118,61.0,12.0
20191119,25.0,5.0
20191120,20.0,5.0
20191121,34.0,12.0
20191122,41.0,16.0
20191123,36.0,15.0
20191124,25.0,14.0
20191125,23.0,10.0
20191126,25.0,12.0
20191127,33.0,15.0
20191128,30.0,13.0
20191129,39.0,16.0
20191130,37.0,19.0
20191201,34.0,23.0
20191202,18.0,6.0
20191203,23.0,11.0
20191204,26.0,10.0
20191205,17.0,4.0
20191206,25.0,8.0
20191207,38.0,20.0
20191208,46.0,32.0
20191209,52.0,36.0
20191210,72.0,53.0
20191211,57.0,36.0
20191212,16.0,7.0
20191213,22.0,9.0
20191214,33.0,19.0
20191215,32.0,18.0
20191216,36.0,17.0
20191217,23.0,14.0
20191218,32.0,18.0
20191219,22.0,9.0
20191220,26.0,15.0
20191221,34.0,23.0
20191222,54.0,40.0
20191223,48.0,39.0
20191224,60.0,48.0
20191225,45.0,33.0
20191226,46.0,32.0
20191227,34.0,23.0
20191228,44.0,25.0
20191229,43.0,26.0
20191230,34.0,23.0
20191231,25.0,16.0
20200101,32.0,22.0
20200102,57.0,39.0
20200103,62.0,43.0
20200104,55.0,38.0
20200105,47.0,33.0
20200106,40.0,28.0
20200107,7.0,4.0
20200108,27.0,22.0
20200109,51.0,43.0
20200110,59.0,48.0
20200111,51.0,40.0
20200112,44.0,35.0
20200113,27.0,17.0
20200114,32.0,22.0
20200115,35.0,23.0
20200116,44.0,29.0
20200117,53.0,36.0
20200118,57.0,38.0
20200119,58.0,45.0
20200120,51.0,28.0
20200121,43.0,24.0
20200122,45.0,29.0
20200123,58.0,40.0
20200124,68.0,50.0
20200125,43.0,34.0
20200126,24.0,17.0
20200127,12.0,6.0
20200128,13.0,6.0
20200129,18.0,9.0
20200130,19.0,10.0
20200131,28.0,20.0
20200201,67.0,53.0
20200202,64.0,52.0
20200203,27.0,17.0
20200204,24.0,16.0
20200205,23.0,12.0
20200206,38.0,20.0
20200207,36.0,24.0
20200208,41.0,31.0
20200209,35.0,26.0
20200210,49.0,33.0
20200211,58.0,36.0
20200212,46.0,33.0
20200213,64.0,53.0
20200214,80.0,63.0
20200215,62.0,49.0
20200216,24.0,19.0
20200217,30.0,20.0
20200218,23.0,15.0
20200219,32.0,24.0
20200220,50.0,38.0
20200221,49.0,38.0
20200222,68.0,38.0
20200223,23.0,12.0
20200224,36.0,20.0
20200225,19.0,10.0
20200226,19.0,10.0
20200227,14.0,7.0
20200228,24.0,17.0
20200229,24.0,16.0
20200301,43.0,32.0
20200302,39.0,30.0
20200303,43.0,32.0
20200304,44.0,34.0
20200305,36.0,28.0
20200306,38.0,26.0
20200307,53.0,36.0
20200308,55.0,43.0
20200309,59.0,43.0
20200310,37.0,29.0
20200311,35.0,14.0
20200312,33.0,12.0
20200313,32.0,14.0
20200314,38.0,18.0
20200315,40.0,17.0
20200316,24.0,12.0
